library|idx|hex.color|color|red|green|blue|alpha
R-657|2|#F0F8FF|aliceblue|240|248|255|255
R-657|3|#FAEBD7|antiquewhite|250|235|215|255
R-657|4|#FFEFDB|antiquewhite1|255|239|219|255
R-657|5|#EEDFCC|antiquewhite2|238|223|204|255
R-657|6|#CDC0B0|antiquewhite3|205|192|176|255
R-657|7|#8B8378|antiquewhite4|139|131|120|255
R-657|8|#7FFFD4|aquamarine|127|255|212|255
R-657|9|#7FFFD4|aquamarine1|127|255|212|255
R-657|10|#76EEC6|aquamarine2|118|238|198|255
R-657|11|#66CDAA|aquamarine3|102|205|170|255
R-657|12|#458B74|aquamarine4|69|139|116|255
R-657|13|#F0FFFF|azure|240|255|255|255
R-657|14|#F0FFFF|azure1|240|255|255|255
R-657|15|#E0EEEE|azure2|224|238|238|255
R-657|16|#C1CDCD|azure3|193|205|205|255
R-657|17|#838B8B|azure4|131|139|139|255
R-657|18|#F5F5DC|beige|245|245|220|255
R-657|19|#FFE4C4|bisque|255|228|196|255
R-657|20|#FFE4C4|bisque1|255|228|196|255
R-657|21|#EED5B7|bisque2|238|213|183|255
R-657|22|#CDB79E|bisque3|205|183|158|255
R-657|23|#8B7D6B|bisque4|139|125|107|255
R-657|24|#000000|black|0|0|0|255
R-657|25|#FFEBCD|blanchedalmond|255|235|205|255
R-657|26|#0000FF|blue|0|0|255|255
R-657|27|#0000FF|blue1|0|0|255|255
R-657|28|#0000EE|blue2|0|0|238|255
R-657|29|#0000CD|blue3|0|0|205|255
R-657|30|#00008B|blue4|0|0|139|255
R-657|31|#8A2BE2|blueviolet|138|43|226|255
R-657|32|#A52A2A|brown|165|42|42|255
R-657|33|#FF4040|brown1|255|64|64|255
R-657|34|#EE3B3B|brown2|238|59|59|255
R-657|35|#CD3333|brown3|205|51|51|255
R-657|36|#8B2323|brown4|139|35|35|255
R-657|37|#DEB887|burlywood|222|184|135|255
R-657|38|#FFD39B|burlywood1|255|211|155|255
R-657|39|#EEC591|burlywood2|238|197|145|255
R-657|40|#CDAA7D|burlywood3|205|170|125|255
R-657|41|#8B7355|burlywood4|139|115|85|255
R-657|42|#5F9EA0|cadetblue|95|158|160|255
R-657|43|#98F5FF|cadetblue1|152|245|255|255
R-657|44|#8EE5EE|cadetblue2|142|229|238|255
R-657|45|#7AC5CD|cadetblue3|122|197|205|255
R-657|46|#53868B|cadetblue4|83|134|139|255
R-657|47|#7FFF00|chartreuse|127|255|0|255
R-657|48|#7FFF00|chartreuse1|127|255|0|255
R-657|49|#76EE00|chartreuse2|118|238|0|255
R-657|50|#66CD00|chartreuse3|102|205|0|255
R-657|51|#458B00|chartreuse4|69|139|0|255
R-657|52|#D2691E|chocolate|210|105|30|255
R-657|53|#FF7F24|chocolate1|255|127|36|255
R-657|54|#EE7621|chocolate2|238|118|33|255
R-657|55|#CD661D|chocolate3|205|102|29|255
R-657|56|#8B4513|chocolate4|139|69|19|255
R-657|57|#FF7F50|coral|255|127|80|255
R-657|58|#FF7256|coral1|255|114|86|255
R-657|59|#EE6A50|coral2|238|106|80|255
R-657|60|#CD5B45|coral3|205|91|69|255
R-657|61|#8B3E2F|coral4|139|62|47|255
R-657|62|#6495ED|cornflowerblue|100|149|237|255
R-657|63|#FFF8DC|cornsilk|255|248|220|255
R-657|64|#FFF8DC|cornsilk1|255|248|220|255
R-657|65|#EEE8CD|cornsilk2|238|232|205|255
R-657|66|#CDC8B1|cornsilk3|205|200|177|255
R-657|67|#8B8878|cornsilk4|139|136|120|255
R-657|68|#00FFFF|cyan|0|255|255|255
R-657|69|#00FFFF|cyan1|0|255|255|255
R-657|70|#00EEEE|cyan2|0|238|238|255
R-657|71|#00CDCD|cyan3|0|205|205|255
R-657|72|#008B8B|cyan4|0|139|139|255
R-657|73|#00008B|darkblue|0|0|139|255
