################################################################################
#
#
#                           Welcome to the {humanVerse}
#
#
################################################################################
# character^integer^character^character^integer^integer^integer^integer
################################################################################
library|idx|hex.color|color|red|green|blue|alpha
WEB-216|1|#000000|WEB.1|0|0|0|255
WEB-216|10|#990033|WEB.10|153|0|51|255
WEB-216|100|#9966CC|WEB.100|153|102|204|255
WEB-216|101|#CC66CC|WEB.101|204|102|204|255
WEB-216|102|#FF66CC|WEB.102|255|102|204|255
WEB-216|103|#0066FF|WEB.103|0|102|255|255
WEB-216|104|#3366FF|WEB.104|51|102|255|255
WEB-216|105|#6666FF|WEB.105|102|102|255|255
WEB-216|106|#9966FF|WEB.106|153|102|255|255
WEB-216|107|#CC66FF|WEB.107|204|102|255|255
WEB-216|108|#FF66FF|WEB.108|255|102|255|255
WEB-216|109|#009900|WEB.109|0|153|0|255
WEB-216|11|#CC0033|WEB.11|204|0|51|255
WEB-216|110|#339900|WEB.110|51|153|0|255
WEB-216|111|#669900|WEB.111|102|153|0|255
WEB-216|112|#999900|WEB.112|153|153|0|255
WEB-216|113|#CC9900|WEB.113|204|153|0|255
WEB-216|114|#FF9900|WEB.114|255|153|0|255
WEB-216|115|#009933|WEB.115|0|153|51|255
WEB-216|116|#339933|WEB.116|51|153|51|255
WEB-216|117|#669933|WEB.117|102|153|51|255
WEB-216|118|#999933|WEB.118|153|153|51|255
WEB-216|119|#CC9933|WEB.119|204|153|51|255
WEB-216|12|#FF0033|WEB.12|255|0|51|255
WEB-216|120|#FF9933|WEB.120|255|153|51|255
WEB-216|121|#009966|WEB.121|0|153|102|255
WEB-216|122|#339966|WEB.122|51|153|102|255
WEB-216|123|#669966|WEB.123|102|153|102|255
WEB-216|124|#999966|WEB.124|153|153|102|255
WEB-216|125|#CC9966|WEB.125|204|153|102|255
WEB-216|126|#FF9966|WEB.126|255|153|102|255
WEB-216|127|#009999|WEB.127|0|153|153|255
WEB-216|128|#339999|WEB.128|51|153|153|255
WEB-216|129|#669999|WEB.129|102|153|153|255
WEB-216|13|#000066|WEB.13|0|0|102|255
WEB-216|130|#999999|WEB.130|153|153|153|255
WEB-216|131|#CC9999|WEB.131|204|153|153|255
WEB-216|132|#FF9999|WEB.132|255|153|153|255
WEB-216|133|#0099CC|WEB.133|0|153|204|255
WEB-216|134|#3399CC|WEB.134|51|153|204|255
WEB-216|135|#6699CC|WEB.135|102|153|204|255
WEB-216|136|#9999CC|WEB.136|153|153|204|255
WEB-216|137|#CC99CC|WEB.137|204|153|204|255
WEB-216|138|#FF99CC|WEB.138|255|153|204|255
WEB-216|139|#0099FF|WEB.139|0|153|255|255
WEB-216|14|#330066|WEB.14|51|0|102|255
WEB-216|140|#3399FF|WEB.140|51|153|255|255
WEB-216|141|#6699FF|WEB.141|102|153|255|255
WEB-216|142|#9999FF|WEB.142|153|153|255|255
WEB-216|143|#CC99FF|WEB.143|204|153|255|255
WEB-216|144|#FF99FF|WEB.144|255|153|255|255
WEB-216|145|#00CC00|WEB.145|0|204|0|255
WEB-216|146|#33CC00|WEB.146|51|204|0|255
WEB-216|147|#66CC00|WEB.147|102|204|0|255
WEB-216|148|#99CC00|WEB.148|153|204|0|255
WEB-216|149|#CCCC00|WEB.149|204|204|0|255
WEB-216|15|#660066|WEB.15|102|0|102|255
WEB-216|150|#FFCC00|WEB.150|255|204|0|255
WEB-216|151|#00CC33|WEB.151|0|204|51|255
WEB-216|152|#33CC33|WEB.152|51|204|51|255
WEB-216|153|#66CC33|WEB.153|102|204|51|255
WEB-216|154|#99CC33|WEB.154|153|204|51|255
WEB-216|155|#CCCC33|WEB.155|204|204|51|255
WEB-216|156|#FFCC33|WEB.156|255|204|51|255
WEB-216|157|#00CC66|WEB.157|0|204|102|255
WEB-216|158|#33CC66|WEB.158|51|204|102|255
WEB-216|159|#66CC66|WEB.159|102|204|102|255
WEB-216|16|#990066|WEB.16|153|0|102|255
WEB-216|160|#99CC66|WEB.160|153|204|102|255
WEB-216|161|#CCCC66|WEB.161|204|204|102|255
WEB-216|162|#FFCC66|WEB.162|255|204|102|255
WEB-216|163|#00CC99|WEB.163|0|204|153|255
WEB-216|164|#33CC99|WEB.164|51|204|153|255
WEB-216|165|#66CC99|WEB.165|102|204|153|255
WEB-216|166|#99CC99|WEB.166|153|204|153|255
WEB-216|167|#CCCC99|WEB.167|204|204|153|255
WEB-216|168|#FFCC99|WEB.168|255|204|153|255
WEB-216|169|#00CCCC|WEB.169|0|204|204|255
WEB-216|17|#CC0066|WEB.17|204|0|102|255
WEB-216|170|#33CCCC|WEB.170|51|204|204|255
WEB-216|171|#66CCCC|WEB.171|102|204|204|255
WEB-216|172|#99CCCC|WEB.172|153|204|204|255
WEB-216|173|#CCCCCC|WEB.173|204|204|204|255
WEB-216|174|#FFCCCC|WEB.174|255|204|204|255
WEB-216|175|#00CCFF|WEB.175|0|204|255|255
WEB-216|176|#33CCFF|WEB.176|51|204|255|255
WEB-216|177|#66CCFF|WEB.177|102|204|255|255
WEB-216|178|#99CCFF|WEB.178|153|204|255|255
WEB-216|179|#CCCCFF|WEB.179|204|204|255|255
WEB-216|18|#FF0066|WEB.18|255|0|102|255
WEB-216|180|#FFCCFF|WEB.180|255|204|255|255
WEB-216|181|#00FF00|WEB.181|0|255|0|255
